,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,,,Возраст,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Паприка,699,"1 315,70",10,37,"70,1143","10,2","5,3",102,49,"92,7074","14,5",7,145,149,"280,4973","13,7","21,3",138,237,"446,5697","13,9","33,9",139,181,"340,9334","8,8","25,9",88,45,"84,8794","3,1","6,5",31
,,,Сметана с зеленью/луком/грибами,1 373,"2 583,86","19,6",97,"183,1622","26,6","7,1",136,81,"152,4306","23,8","5,9",121,257,"483,5126","23,7","18,7",121,425,"799,0645","24,8","30,9",127,422,"793,9234","20,6","30,7",105,91,"171,7642","6,3","6,6",32
,,,Курица,267,"501,8963","3,8",30,"57,1162","8,3","11,4",218,13,"23,6785","3,7","4,7",97,54,"101,4947",5,"20,2",130,77,"144,3401","4,5","28,8",118,68,"127,3759","3,3","25,4",87,25,"47,8909","1,8","9,5",46
,,,Красная икра,208,"391,1198",3,17,"32,4531","4,7","8,3",159,8,"15,9198","2,5","4,1",84,39,"73,5862","3,6","18,8",121,61,"114,4082","3,6","29,3",120,63,"117,9316","3,1","30,2",103,20,"36,8209","1,4","9,4",46
,,,Краб,709,"1 334,31","10,1",57,"106,5132","15,5",8,153,49,"91,9114","14,3","6,9",141,154,"290,6225","14,2","21,8",141,213,"400,3638","12,4",30,123,188,"353,8484","9,2","26,5",90,48,"91,0516","3,3","6,8",33
,,,Другие,100,"187,2306","1,4",14,"25,6136","3,7","13,7",262,16,"30,2326","4,7","16,1",332,25,"47,4064","2,3","25,3",163,23,"43,1906","1,3","23,1",94,15,"28,622","0,7","15,3",52,6,"12,1654","0,4","6,5",31
,,,Чипсы без добавок,220,"414,4641","3,1",8,"15,7224","2,3","3,8",73,3,"6,3035",1,"1,5",31,32,"59,4911","2,9","14,4",93,74,"139,4107","4,3","33,6",138,78,"146,5485","3,8","35,4",121,25,"46,9878","1,7","11,3",55
,,,Не имеет значения,314,"591,6768","4,5",40,"75,2973","10,9","12,7",244,15,"28,86","4,5","4,9",100,67,"126,6225","6,2","21,4",138,71,"134,1654","4,2","22,7",93,90,"169,3012","4,4","28,6",98,31,"57,4304","2,1","9,7",47
,,Частота потребления чипсов,Каждый день,70,"132,5088",1,2,"3,1677","0,5","2,4",46,3,"5,5714","0,9","4,2",86,18,"34,165","1,7","25,8",166,34,"64,2267",2,"48,5",198,8,"14,1911","0,4","10,7",37,6,"11,1868","0,4","8,4",41
,,,Несколько раз в неделю,396,"745,414","5,7",52,"98,3993","14,3","13,2",253,44,"83,3786",13,"11,2",230,90,"169,8553","8,3","22,8",147,121,"228,4212","7,1","30,6",125,73,"136,8369","3,5","18,4",63,15,"28,5227",1,"3,8",19
,,,Один раз в неделю,613,"1 153,79","8,8",56,"104,9926","15,3","9,1",174,39,"72,6508","11,3","6,3",129,134,"252,8201","12,4","21,9",141,195,"366,8055","11,4","31,8",130,148,"277,7732","7,2","24,1",82,42,"78,7504","2,9","6,8",33
,,,2 - 3 раза в месяц,1 046,"1 968,45","14,9",80,"151,4633",22,"7,7",147,55,"103,3574","16,1","5,3",108,214,"402,1906","19,7","20,4",132,310,"583,7482","18,1","29,7",121,310,"584,1182","15,1","29,7",101,76,"143,5766","5,3","7,3",35
,,,Раз в месяц и реже,1 293,"2 432,73","18,5",48,"90,2735","13,1","3,7",71,46,"86,1539","13,4","3,5",73,190,"358,3767","17,6","14,7",95,385,"723,6317","22,5","29,7",122,479,"900,5596","23,3",37,126,145,"273,7382","10,1","11,3",54
,,Знание марок чипсов,Chio,1 384,"2 603,81","19,8",73,"138,0269","20,1","5,3",101,43,"81,8306","12,8","3,1",65,263,"495,3331","24,3",19,123,466,"876,8552","27,2","33,7",138,424,"797,4325","20,7","30,6",105,114,"214,3327","7,9","8,2",40
,,,Chipster's,1 963,"3 693,00",28,122,"228,9762","33,3","6,2",119,107,"200,7393","31,3","5,4",112,402,"755,9243",37,"20,5",132,663,"1 247,24","38,7","33,8",138,557,"1 048,54","27,2","28,4",97,112,"211,5834","7,8","5,7",28
,,,Estrella,1 095,"2 060,09","15,6",56,"104,8653","15,2","5,1",97,43,"81,6126","12,7",4,81,193,"362,9722","17,8","17,6",114,394,"740,9612",23,36,147,331,"621,9534","16,1","30,2",103,79,"147,7222","5,4","7,2",35
,,,HROOM,922,"1 735,02","13,2",69,"130,6703",19,"7,5",144,46,"85,8665","13,4","4,9",102,172,"322,7632","15,8","18,6",120,296,"556,4489","17,3","32,1",131,270,"507,1385","13,1","29,2",100,70,"132,1318","4,9","7,6",37
,,,KartoFan,1 213,"2 281,71","17,3",83,"156,019","22,7","6,8",131,59,"110,1533","17,2","4,8",99,251,"473,183","23,2","20,7",134,414,"779,4276","24,2","34,2",140,326,"614,0984","15,9","26,9",92,79,"148,8247","5,5","6,5",32
,,,Lay's,2 765,"5 201,89","39,5",201,"378,3005",55,"7,3",139,147,"276,8857","43,2","5,3",109,527,"991,7114","48,6","19,1",123,872,"1 641,27",51,"31,6",129,818,"1 539,29","39,9","29,6",101,199,"374,4283","13,8","7,2",35
,,,Pringles,1 881,"3 538,85","26,9",118,"222,9333","32,4","6,3",121,96,"179,9779","28,1","5,1",104,370,"696,6313","34,1","19,7",127,642,"1 207,25","37,5","34,1",140,540,"1 016,84","26,3","28,7",98,114,"215,2203","7,9","6,1",29
,,,Золотисті (Жайвір),886,"1 667,40","12,7",58,"109,3301","15,9","6,6",125,39,"72,5242","11,3","4,3",89,173,"325,6786",16,"19,5",126,308,"580,1013",18,"34,8",142,251,"472,9698","12,3","28,4",97,57,"106,8005","3,9","6,4",31
,,,Люкс,2 580,"4 854,78","36,9",192,"361,9416","52,6","7,5",143,140,"263,4994","41,1","5,4",111,466,"876,9179",43,"18,1",117,803,"1 511,64",47,"31,1",127,770,"1 449,68","37,6","29,9",102,208,"391,0951","14,4","8,1",39
,,,Повна Чаша,1 027,"1 931,68","14,7",63,"118,3818","17,2","6,1",117,46,"86,7073","13,5","4,5",92,202,"380,5422","18,6","19,7",127,329,"618,8453","19,2",32,131,293,"551,0502","14,3","28,5",97,94,"176,1556","6,5","9,1",44
,,,Премія,1 095,"2 060,89","15,6",61,"114,2587","16,6","5,5",106,50,"94,4907","14,7","4,6",94,226,"425,0913","20,8","20,6",133,339,"637,6485","19,8","30,9",127,329,"619,8478","16,1","30,1",103,90,"169,5537","6,2","8,2",40
,,,Розумний вибір,1 272,"2 393,19","18,2",77,"144,2471",21,6,115,72,"135,7195","21,2","5,7",116,239,"449,74",22,"18,8",121,408,"766,8016","23,8",32,131,369,"694,2166",18,29,99,108,"202,4671","7,4","8,5",41
,,,Своя Лінія,1 363,"2 564,64","19,5",100,"187,5172","27,2","7,3",140,82,"154,8369","24,1",6,124,252,"474,7851","23,3","18,5",119,415,"781,343","24,3","30,5",125,402,"757,1543","19,6","29,5",101,111,"208,9996","7,7","8,1",39
,,Потребление марок чипсов за полгода,Chio,373,"702,1715","5,3",16,"30,8965","4,5","4,4",84,12,"22,444","3,5","3,2",66,86,"161,8331","7,9",23,149,104,"195,9511","6,1","27,9",114,121,"228,312","5,9","32,5",111,33,"62,7348","2,3","8,9",43
,,,Chipster's,1 013,"1 905,69","14,5",59,"110,5696","16,1","5,8",111,66,"123,8307","19,3","6,5",133,230,"431,924","21,2","22,7",146,349,"656,5396","20,4","34,5",141,263,"494,1562","12,8","25,9",88,47,"88,6672","3,3","4,7",23
,,,Estrella,357,"671,6729","5,1",13,"23,8694","3,5","3,6",68,16,"29,5208","4,6","4,4",90,75,"142,0092",7,"21,1",136,138,"258,8734",8,"38,5",158,90,"168,6143","4,4","25,1",86,26,"48,7858","1,8","7,3",35
,,,HROOM,320,"602,5977","4,6",21,"39,4552","5,7","6,5",125,21,"39,449","6,2","6,5",134,57,"107,5936","5,3","17,9",115,113,"212,6827","6,6","35,3",144,79,"148,6341","3,9","24,7",84,29,"54,7832",2,"9,1",44
,,,KartoFan,488,"918,6796",7,33,"62,0186",9,"6,8",129,28,"51,8013","8,1","5,6",116,110,"206,7843","10,1","22,5",145,178,"335,7135","10,4","36,5",149,112,"209,7952","5,4","22,8",78,28,"52,5668","1,9","5,7",28
,,,Lay's,2 462,"4 632,84","35,2",177,"333,2984","48,4","7,2",138,128,"239,9194","37,4","5,2",106,484,"911,143","44,6","19,7",127,782,"1 471,84","45,7","31,8",130,724,"1 363,12","35,3","29,4",100,167,"313,5195","11,5","6,8",33
,,,Pringles,1 040,"1 956,23","14,9",59,"111,1558","16,1","5,7",109,59,"110,2184","17,2","5,6",116,227,"427,5296","20,9","21,9",141,362,"681,5811","21,2","34,8",143,278,"523,4493","13,6","26,8",91,54,"102,2964","3,8","5,2",25
,,,Золотисті (Жайвір),363,"683,8423","5,2",13,"24,6145","3,6","3,6",69,17,"31,5467","4,9","4,6",95,73,"137,4656","6,7","20,1",130,146,"275,0766","8,5","40,2",165,93,"174,1662","4,5","25,5",87,22,"40,9726","1,5",6,29
,,,Люкс,2 138,"4 022,72","30,5",165,"309,8965",45,"7,7",147,120,"224,871","35,1","5,6",115,389,"732,4282","35,9","18,2",117,658,"1 238,99","38,5","30,8",126,640,"1 204,28","31,2","29,9",102,166,"312,2592","11,5","7,8",38
,,,Повна Чаша,308,"580,4279","4,4",17,"31,9481","4,6","5,5",105,16,"30,771","4,8","5,3",109,73,"136,6115","6,7","23,5",152,95,"178,284","5,5","30,7",126,85,"159,9279","4,1","27,6",94,23,"42,8854","1,6","7,4",36
,,,Премія,338,"636,4387","4,8",15,"28,6841","4,2","4,5",86,20,"37,5298","5,9","5,9",121,77,"145,7215","7,1","22,9",148,101,"189,8839","5,9","29,8",122,98,"184,8107","4,8",29,99,26,"49,8087","1,8","7,8",38
,,,Розумний вибір,518,"974,0869","7,4",38,"72,075","10,5","7,4",142,31,"58,0225",9,6,122,99,"185,6986","9,1","19,1",123,155,"292,2935","9,1",30,123,146,"275,2672","7,1","28,3",96,48,"90,7301","3,3","9,3",45
,,,Своя Лінія,653,"1 227,73","9,3",66,"123,4001","17,9","10,1",192,42,"79,8126","12,4","6,5",133,121,"227,1871","11,1","18,5",119,193,"362,4521","11,3","29,5",121,182,"342,7631","8,9","27,9",95,49,"92,1175","3,4","7,5",36
,,,Другие импортные,190,"356,8632","2,7",13,"23,6743","3,4","6,6",127,11,"20,2575","3,2","5,7",117,44,"82,4896",4,"23,1",149,55,"103,8705","3,2","29,1",119,56,"104,727","2,7","29,3",100,12,"21,8444","0,8","6,1",30
,,,Другие отечественные,153,"288,3271","2,2",9,"16,6481","2,4","5,8",110,11,"21,3571","3,3","7,4",152,27,"50,0314","2,5","17,4",112,41,"76,5725","2,4","26,6",109,49,"92,3291","2,4",32,109,17,"31,3888","1,2","10,9",53
,,Предпочтение марок чипсов за полгода,Chio,100,"187,233","1,4",6,"11,669","1,7","6,2",119,3,"6,4663",1,"3,5",71,24,"45,063","2,2","24,1",155,26,"49,4518","1,5","26,4",108,30,"57,1013","1,5","30,5",104,9,"17,4816","0,6","9,3",45
,,,Chipster's,282,"530,9375",4,16,"30,2854","4,4","5,7",109,26,"48,4062","7,5","9,1",187,67,"125,6084","6,2","23,7",153,95,"178,6931","5,6","33,7",138,60,"112,1978","2,9","21,1",72,19,"35,7466","1,3","6,7",33
,,,Estrella,117,"220,0115","1,7",3,"4,7506","0,7","2,2",41,8,"15,8046","2,5","7,2",148,27,"50,8604","2,5","23,1",149,48,"89,7457","2,8","40,8",167,24,"45,4067","1,2","20,6",70,7,"13,4436","0,5","6,1",30
,,,HROOM,99,"186,0146","1,4",5,"9,5635","1,4","5,1",98,9,"16,9396","2,6","9,1",187,20,"38,2214","1,9","20,5",133,32,"59,8639","1,9","32,2",132,20,"38,3508",1,"20,6",70,12,"23,0753","0,8","12,4",60
,,,KartoFan,164,"308,0749","2,3",12,"22,7288","3,3","7,4",141,9,"17,2785","2,7","5,6",115,45,"84,1127","4,1","27,3",176,52,"97,95",3,"31,8",130,37,"69,9246","1,8","22,7",77,9,"16,0802","0,6","5,2",25
,,,Lay's,1 888,"3 552,42",27,129,"242,766","35,3","6,8",131,103,"193,5881","30,2","5,4",112,373,"702,3513","34,4","19,8",128,598,"1 125,47",35,"31,7",130,551,"1 036,61","26,9","29,2",100,134,"251,6429","9,2","7,1",34
,,,Pringles,316,"593,8513","4,5",16,"29,5232","4,3",5,95,19,"36,2627","5,7","6,1",125,74,"138,712","6,8","23,4",151,116,"217,6471","6,8","36,7",150,74,"139,5836","3,6","23,5",80,17,"32,1226","1,2","5,4",26
,,,Золотисті (Жайвір),122,"230,4198","1,7",7,"12,6981","1,8","5,5",105,8,"15,4911","2,4","6,7",138,27,"51,4424","2,5","22,3",144,39,"73,235","2,3","31,8",130,34,"64,4598","1,7",28,95,7,"13,0935","0,5","5,7",28
,,,Люкс,1 306,"2 458,19","18,7",96,"180,688","26,3","7,4",141,74,"139,4261","21,7","5,7",116,240,"451,6091","22,1","18,4",119,402,"757,089","23,5","30,8",126,384,"721,8065","18,7","29,4",100,110,"207,5735","7,6","8,4",41
,,,Повна Чаша,84,"158,9158","1,2",3,"4,7227","0,7",3,57,5,"10,2856","1,6","6,5",133,26,"48,2344","2,4","30,4",196,24,"44,2741","1,4","27,9",114,23,"42,7778","1,1","26,9",92,5,"8,6212","0,3","5,4",26
,,,Премія,100,"188,6707","1,4",4,"6,8583",1,"3,6",70,7,"13,6551","2,1","7,2",149,29,"54,5829","2,7","28,9",187,28,"52,0307","1,6","27,6",113,24,"44,672","1,2","23,7",81,9,"16,8717","0,6","8,9",43
,,,Розумний вибір,182,"342,3976","2,6",13,"24,899","3,6","7,3",139,11,"21,3306","3,3","6,2",128,37,"69,3312","3,4","20,2",131,53,"100,0781","3,1","29,2",120,48,"89,6295","2,3","26,2",89,20,"37,1291","1,4","10,8",52
,,,Своя Лінія,292,"548,897","4,2",29,"55,1071",8,10,192,19,"36,4396","5,7","6,6",136,52,"97,59","4,8","17,8",115,77,"144,2302","4,5","26,3",107,88,"164,864","4,3",30,102,27,"50,666","1,9","9,2",45
,,,Другие импортные,80,"151,4643","1,1",4,"8,4065","1,2","5,6",106,8,"15,1036","2,4",10,205,20,"37,0712","1,8","24,5",158,18,"33,8715","1,1","22,4",91,25,"47,2312","1,2","31,2",106,5,"9,7803","0,4","6,5",31
,,,Другие отечественные,74,"139,8627","1,1",5,"9,2925","1,4","6,6",127,6,"11,8422","1,8","8,5",174,11,"20,0669",1,"14,3",93,17,"31,0493",1,"22,2",91,27,"49,8981","1,3","35,7",122,9,"17,7137","0,7","12,7",61
,,Покупка чипсов за полгода,Покупали регулярно,860,"1 618,86","12,3",86,"161,6083","23,5",10,191,72,"135,0393","21,1","8,3",171,192,"361,3775","17,7","22,3",144,276,"518,5277","16,1",32,131,183,"344,2867","8,9","21,3",73,52,"98,0176","3,6","6,1",29
,,,Покупали нерегулярно,2 695,"5 070,33","38,5",129,"241,8971","35,1","4,8",91,123,"230,6295",36,"4,5",93,512,"963,2122","47,2",19,123,809,"1 521,78","47,3",30,123,865,"1 628,23","42,2","32,1",110,258,"484,5894","17,8","9,6",46
,,,Не покупали,3 445,"6 481,81","49,2",151,"284,807","41,4","4,4",84,147,"275,7551",43,"4,3",87,381,"716,5645","35,1","11,1",71,627,"1 179,16","36,6","18,2",74,1 003,"1 886,98","48,9","29,1",99,1 137,"2 138,54","78,6",33,160
,,Ориентация на количество марок при покупке чипсов,Покупали одну определённую марку,966,"1 817,45","13,8",58,"108,2328","15,7",6,114,59,"110,228","17,2","6,1",125,204,"383,4135","18,8","21,1",136,298,"560,9219","17,4","30,9",126,270,"508,7749","13,2",28,96,78,"145,8817","5,4",8,39
,,,Покупали 2-3 определённые марки,2 048,"3 852,99","29,3",117,"220,8293","32,1","5,7",110,103,"193,8459","30,2",5,103,411,"773,1598","37,9","20,1",129,622,"1 171,07","36,4","30,4",124,621,"1 169,32","30,3","30,3",104,173,"324,7656","11,9","8,4",41
,,,"Покупали то, что было в продаже",541,"1 018,75","7,7",40,"74,4432","10,8","7,3",140,33,"61,5949","9,6",6,124,89,"168,0164","8,2","16,5",106,164,"308,3171","9,6","30,3",124,156,"294,421","7,6","28,9",99,60,"111,9597","4,1",11,53
Потребление сухариков за полгода,Потребляли,Total,,2 657,"4 999,37",100,172,"322,7709",100,"6,5",124,139,"262,0258",100,"5,2",108,474,"892,2188",100,"17,8",115,851,"1 600,72",100,32,131,811,"1 525,07",100,"30,5",104,211,"396,556",100,"7,9",38
,,Потребление чипсов за полгода,Потребляли,2 174,"4 090,58","81,8",144,"271,8117","84,2","6,6",213,118,"222,9109","85,1","5,4",187,424,"798,1884","89,5","19,5",211,729,"1 371,00","85,6","33,5",230,635,"1 194,06","78,3","29,2",167,124,"232,614","58,7","5,7",46
,,,Не потребляли,483,"908,7845","18,2",27,"50,9593","15,8","5,6",38,21,"39,1149","14,9","4,3",31,50,"94,0305","10,5","10,3",24,122,"229,7292","14,4","25,3",37,176,"331,0087","21,7","36,4",44,87,"163,942","41,3",18,31
,,Предпочтение вкусовых качеств чипсов,Барбекю,240,"451,1626",9,19,"36,2733","11,2",8,290,20,"37,3218","14,2","8,3",320,59,"111,0313","12,4","24,6",299,73,"136,6181","8,5","30,3",233,57,"107,7304","7,1","23,9",154,12,"22,1876","5,6","4,9",45
,,,Бекон,717,"1 348,99",27,49,"92,0068","28,5","6,8",230,49,"91,9007","35,1","6,8",247,128,"241,4533","27,1","17,9",204,221,"415,8528",26,"30,8",223,226,"425,2916","27,9","31,5",190,44,"82,4829","20,8","6,1",52
,,,Сыр,977,"1 837,54","36,8",56,"105,1086","32,6","5,7",188,59,"110,9501","42,3",6,213,207,"389,1149","43,6","21,2",234,334,"627,9365","39,2","34,2",240,276,"518,9456",34,"28,2",165,45,"85,4831","21,6","4,7",39
,,,Лук,393,"738,8046","14,8",18,"33,519","10,4","4,5",157,28,"51,7496","19,7",7,260,85,"159,0964","17,8","21,5",251,124,"233,7343","14,6","31,6",234,118,"222,89","14,6","30,2",186,20,"37,8154","9,5","5,1",45
,,,Грибы,454,"854,4211","17,1",22,"41,5694","12,9","4,9",168,39,"73,7248","28,1","8,6",319,96,"180,6773","20,3","21,1",246,152,"285,7922","17,9","33,4",247,120,"225,2931","14,8","26,4",162,25,"47,3644","11,9","5,5",48
,,,Паприка,483,"908,1388","18,2",32,"60,3884","18,7","6,6",231,32,"60,9951","23,3","6,7",251,103,"194,4261","21,8","21,4",251,177,"333,9738","20,9","36,8",274,116,"218,8059","14,3","24,1",150,21,"39,5495",10,"4,4",38
,,,Сметана с зеленью/луком/грибами,914,"1 719,75","34,4",66,"124,1056","38,5","7,2",242,57,"107,518",41,"6,3",225,180,"338,6584",38,"19,7",223,310,"583,4111","36,4","33,9",243,261,"490,3694","32,2","28,5",171,40,"75,6924","19,1","4,4",37
,,,Курица,187,"352,0623",7,17,"32,1173",10,"9,1",323,8,"15,8426",6,"4,5",171,39,"72,7761","8,2","20,7",247,62,"115,752","7,2","32,9",249,49,"92,6825","6,1","26,3",166,12,"22,8917","5,8","6,5",58
,,,Красная икра,163,"307,0468","6,1",15,"28,2234","8,7","9,2",364,6,"11,4311","4,4","3,7",158,34,"63,0997","7,1","20,6",274,49,"92,6843","5,8","30,2",255,50,"93,3512","6,1","30,4",215,10,"18,2572","4,6","5,9",60
,,,Краб,492,"925,71","18,5",38,"71,5889","22,2","7,7",270,35,"66,7813","25,5","7,2",271,114,"215,2165","24,1","23,2",274,156,"292,6975","18,3","31,6",236,129,"242,9456","15,9","26,2",164,19,"36,4803","9,2","3,9",35
,,,Другие,65,"122,9426","2,5",9,"16,9958","5,3","13,8",458,11,"20,8317",8,"16,9",602,18,"32,9896","3,7","26,8",300,14,"25,4579","1,6","20,7",147,9,"16,95","1,1","13,8",81,5,"9,7176","2,5","7,9",66
,,,Чипсы без добавок,119,"223,1839","4,5",2,"4,4141","1,4",2,54,1,"1,56","0,6","0,7",20,17,"32,4013","3,6","14,5",133,46,"87,2963","5,5","39,1",227,45,"84,1882","5,5","37,7",183,7,"13,3239","3,4",6,41
,,,Не имеет значения,194,"365,9552","7,3",26,"49,8289","15,4","13,6",425,8,"14,6325","5,6",4,134,46,"87,3222","9,8","23,9",251,50,"94,0891","5,9","25,7",171,54,"102,0248","6,7","27,9",155,10,"18,0575","4,6","4,9",39
,,Частота потребления чипсов,Каждый день,59,"111,5046","2,2",1,"1,4461","0,4","1,3",55,3,"5,5714","2,1",5,227,14,"25,9238","2,9","23,2",333,29,"54,8614","3,4","49,2",446,8,"14,1911","0,9","12,7",96,5,"9,5108","2,4","8,5",92
,,,Несколько раз в неделю,274,"515,4637","10,3",37,"69,9807","21,7","13,6",473,33,"61,7471","23,6",12,448,62,"116,5911","13,1","22,6",266,86,"161,2937","10,1","31,3",233,49,"92,4605","6,1","17,9",112,7,"13,3906","3,4","2,6",23
,,,Один раз в неделю,435,"817,8173","16,4",31,"57,7155","17,9","7,1",252,20,"38,4198","14,7","4,7",180,96,"180,6398","20,2","22,1",266,151,"283,3699","17,7","34,6",265,114,"215,2749","14,1","26,3",168,23,"42,3973","10,7","5,2",47
,,,2 - 3 раза в месяц,693,"1 303,03","26,1",49,"91,7777","28,4",7,235,33,"62,6092","23,9","4,8",172,149,"279,5595","31,3","21,5",241,226,"425,0713","26,6","32,6",233,202,"379,1772","24,9","29,1",173,34,"64,8385","16,4",5,42
,,,Раз в месяц и реже,714,"1 342,76","26,9",27,"50,8916","15,8","3,8",105,29,"54,5634","20,8","4,1",121,104,"195,4741","21,9","14,6",137,237,"446,3989","27,9","33,2",198,262,"492,959","32,3","36,7",182,54,"102,4767","25,8","7,6",54
,,Знание марок чипсов,Chio,943,"1 773,39","35,5",41,"77,3449",24,"4,4",150,27,"51,2811","19,6","2,9",107,188,"354,6158","39,7",20,232,336,"632,0897","39,5","35,6",262,291,"547,3085","35,9","30,9",189,59,"110,7543","27,9","6,2",54
,,,Chipster's,1 345,"2 530,22","50,6",81,"151,7099",47,6,207,74,"138,9505",53,"5,5",204,288,"541,7264","60,7","21,4",249,477,"898,0971","56,1","35,5",262,370,"696,8793","45,7","27,5",170,55,"102,8614","25,9","4,1",36
,,,Estrella,766,"1 441,33","28,8",35,"65,7462","20,4","4,6",161,28,"53,5404","20,4","3,7",141,145,"272,0923","30,5","18,9",225,287,"539,6318","33,7","37,4",282,222,"418,6201","27,4",29,183,49,"91,7039","23,1","6,4",57
,,,HROOM,663,"1 247,42",25,40,"76,1865","23,6","6,1",221,29,"54,4412","20,8","4,4",170,130,"244,9613","27,5","19,6",240,223,"419,4862","26,2","33,6",261,194,"364,1847","23,9","29,2",189,47,"88,1565","22,2","7,1",65
,,,KartoFan,853,"1 604,15","32,1",53,"100,4132","31,1","6,3",222,40,"74,7087","28,5","4,7",177,178,"335,1384","37,6","20,9",250,309,"581,702","36,3","36,3",275,227,"427,0837",28,"26,6",168,45,"85,1039","21,5","5,3",48
,,,Lay's,1 764,"3 318,43","66,4",120,"226,328","70,1","6,8",219,96,"180,937","69,1","5,5",188,347,"653,5428","73,2","19,7",214,610,"1 148,53","71,8","34,6",238,516,"970,9233","63,7","29,3",168,73,"138,1689","34,8","4,2",34
,,,Pringles,1 267,"2 383,02","47,7",75,"140,1966","43,4","5,9",200,66,"123,3155","47,1","5,2",189,254,"478,1263","53,6","20,1",230,459,"864,1037",54,"36,3",263,360,"677,6085","44,4","28,4",172,53,"99,6739","25,1","4,2",36
,,,Золотисті (Жайвір),615,"1 157,76","23,2",34,"63,6129","19,7","5,5",192,22,"41,1191","15,7","3,6",133,125,"234,4553","26,3","20,3",239,223,"419,2267","26,2","36,2",271,178,"334,5805","21,9","28,9",180,34,"64,7606","16,3","5,6",50
